perm,rf,rf_shap,variable,wv_rf,xgb,xgb_shap
0.0009694883028244738,0.0004747818204589195,0.0013427694462024233,tBodyAcc-mean()-X,0.251605573387124,0.0037227924913167953,0.0010687739122658968
0.00029761537041386233,0.00041705542737578824,0.0008775259145401299,tBodyAcc-mean()-Y,0.12936444926715426,0.0038916929624974728,0.0012701090890914202
0.0004420085332624512,0.00025974924163668704,0.0005120491908693275,tBodyAcc-mean()-Z,0.2111858451089657,0.0030488017946481705,0.0011193989776074886
0.004377346427018597,0.006553396962391503,0.010761882285127741,tBodyAcc-std()-X,0.7219173545785034,0.009192065335810184,0.019891414791345596
0.001155855920769415,0.0012673509655075736,0.002499827701295838,tBodyAcc-std()-Y,0.1559565912465856,0.004512539133429527,0.009021002799272537
0.00123801284420183,0.0007317071100770406,0.0026508797056791983,tBodyAcc-std()-Z,0.17663600693564654,0.0034164765384048223,0.0020689405500888824
0.002652687780922792,0.0036100581492388662,0.010977851673660038,tBodyAcc-mad()-X,1.2595661330630883,0.0017396160401403904,0.003238600678741932
0.0012758534318239698,0.0009958071344838958,0.0022812671934995627,tBodyAcc-mad()-Y,0.09814131129912584,0.0022008249070495367,0.010746867395937443
0.0013603511908676297,0.0006739383776893447,0.0020794076568992547,tBodyAcc-mad()-Z,0.05724852294462751,0.0010009647812694311,0.0008285606745630503
0.006182241487432705,0.008622933155116428,0.023412868495880947,tBodyAcc-max()-X,2.431223751716304,0.010997317731380463,0.14356829226016998
0.0013575487403325224,0.00041218000907479544,0.0016811720448651698,tBodyAcc-max()-Y,0.06650741638131392,0.0024727005511522293,0.0047125061973929405
0.0007263947562836224,0.0004506626360050767,0.0017465934179597673,tBodyAcc-max()-Z,0.13917260004680534,0.002775400411337614,0.0033879349939525127
0.0013583380410368692,0.0007880000933264634,0.002851368185336327,tBodyAcc-min()-X,0.19171678041815468,0.002715891692787409,0.004702100995928049
0.004495043435461948,0.0012298076048040604,0.006144719830613954,tBodyAcc-min()-Y,0.2242323948625582,0.00269152969121933,0.006567775271832943
0.0009658731177387637,0.0003495052909659012,0.0015447570068532052,tBodyAcc-min()-Z,0.056661007919146536,0.002110438421368599,0.0017142342403531075
0.0012505797880176725,0.0013375499447524002,0.007423543107542433,tBodyAcc-sma(),0.3748327942074178,0.0018933176761493087,0.004127270542085171
0.005999649031710901,0.004643792610429911,0.011688417754949183,tBodyAcc-energy()-X,1.2662875057116774,0.002885150955989957,0.07467284798622131
0.0015186757520736938,0.000844658834042294,0.0027547438298514645,tBodyAcc-energy()-Y,0.18090904911940014,0.0010341866873204708,0.005304921884089708
0.0011633576043792752,0.0009593943482828719,0.002071847183503311,tBodyAcc-energy()-Z,0.12784321428294265,0.0007608865853399038,0.0016002673655748367
0.0024282391178649435,0.002080517960882724,0.008608938688631714,tBodyAcc-iqr()-X,0.29410521684468216,0.001646619290113449,0.005672986153513193
0.0008957535713790312,0.0008540978100545219,0.0022572162582624703,tBodyAcc-iqr()-Y,0.08076965317309524,0.001471497816964984,0.0019127788254991174
0.0005849578363064338,0.0005206683634607027,0.001126668006379768,tBodyAcc-iqr()-Z,0.054023553645038525,0.0012740865349769592,0.0011590732028707862
0.002695008898510157,0.0012685907607899436,0.004766145669608716,tBodyAcc-entropy()-X,0.9922214820914445,0.00969026517122984,0.02369367890059948
0.000508383552245867,0.0004399849153369359,0.0011623024201222617,tBodyAcc-entropy()-Y,0.08124623542122046,0.0030372964683920145,0.0025987739209085703
0.0004248862645613336,0.0003993163237342256,0.0011135365947177117,tBodyAcc-entropy()-Z,0.0955269045030241,0.0035992830526083708,0.0035969421733170748
0.001316676622723997,0.0005774459838237929,0.0024588518997895764,"tBodyAcc-arCoeff()-X,1",0.18252918166906174,0.0023339183535426855,0.0036919894628226757
0.00010476704888568595,0.00018427295492548097,0.00044225484367982825,"tBodyAcc-arCoeff()-X,2",0.032899169371439344,0.0020508395973592997,0.0011528732720762491
0.00024495002474295445,0.00020115898107192924,0.0003919074506539848,"tBodyAcc-arCoeff()-X,3",0.03907797134941848,0.0014378527412191033,0.0005098649417050183
0.0004425139521671896,0.00033877395365523627,0.0007408784192268863,"tBodyAcc-arCoeff()-X,4",0.136983138779057,0.0031020878814160824,0.0017404755344614387
0.000607970023350426,0.0004192519232155186,0.0011906860870688827,"tBodyAcc-arCoeff()-Y,1",0.028505354322796026,0.0023413451854139566,0.0008529509068466723
0.00017276234382381113,0.00020957025107299918,0.0003164999520397757,"tBodyAcc-arCoeff()-Y,2",0.14924141488459206,0.0015056149568408728,0.000661476340610534
0.00010807720803227546,0.00017978152789774267,0.00034408910414127655,"tBodyAcc-arCoeff()-Y,3",0.00951822184616735,0.0017849561991170049,0.0006363109569065273
0.0002726866547010707,0.0002494779262607179,0.0006395055565130779,"tBodyAcc-arCoeff()-Y,4",0.0927348296055416,0.0027710855938494205,0.000989446067251265
0.0005383306564454759,0.00032349241415427564,0.0006645558592381564,"tBodyAcc-arCoeff()-Z,1",0.05603695983698054,0.0027931160293519497,0.0012498268624767661
0.00021102251307746593,0.00021047201010071176,0.000361813091081259,"tBodyAcc-arCoeff()-Z,2",0.039737270159220885,0.0014813647139817476,0.0005563139566220343
0.00013102193404334418,0.00018565029955070739,0.0003794312228491282,"tBodyAcc-arCoeff()-Z,3",0.04154661423626618,0.0016963459784165025,0.0006151946727186441
0.0003327392213976477,0.0003830027547032924,0.000996749724296433,"tBodyAcc-arCoeff()-Z,4",0.05382049213724429,0.0031196416821330786,0.0018328912556171417
