model,method,k,ACC,Error
RF,perm,10,0.9485436893203884,0.05145631067961165
RF,perm,10,0.945631067961165,0.05436893203883497
RF,perm,10,0.9461165048543689,0.053883495145631066
RF,perm,10,0.9460903351141331,0.053909664885866904
RF,perm,15,0.9616504854368932,0.03834951456310676
RF,perm,15,0.9631067961165048,0.03689320388349515
RF,perm,15,0.9563106796116505,0.043689320388349495
RF,perm,15,0.9514563106796117,0.04854368932038833
RF,perm,15,0.9567751335599806,0.04322486644001944
RF,perm,20,0.962135922330097,0.03786407766990296
RF,perm,20,0.9645631067961165,0.035436893203883546
RF,perm,20,0.9529126213592233,0.04708737864077672
RF,perm,20,0.9558252427184466,0.0441747572815534
RF,perm,20,0.9592034968431278,0.04079650315687222
RF,perm,25,0.9655339805825243,0.034466019417475735
RF,perm,25,0.9694174757281553,0.030582524271844713
RF,perm,25,0.9587378640776699,0.04126213592233008
RF,perm,25,0.9572815533980582,0.042718446601941795
RF,perm,25,0.9616318601262749,0.038368139873725116
RF,perm,50,0.9645631067961165,0.035436893203883546
RF,perm,50,0.9694174757281553,0.030582524271844713
RF,perm,50,0.9611650485436893,0.03883495145631066
RF,perm,50,0.9626213592233009,0.03737864077669906
RF,perm,50,0.9626032054395337,0.037396794560466295
RF,perm,100,0.9703883495145631,0.029611650485436902
RF,perm,100,0.9815533980582525,0.01844660194174752
RF,perm,100,0.974757281553398,0.025242718446601975
RF,perm,100,0.9757281553398058,0.024271844660194164
RF,perm,100,0.9762020398251579,0.023797960174842148
RF,rf_shap,1,0.5305825242718447,0.4694174757281553
RF,rf_shap,1,0.5189320388349514,0.4810679611650486
RF,rf_shap,1,0.5184466019417475,0.4815533980582525
RF,rf_shap,1,0.5233009708737864,0.47669902912621365
RF,rf_shap,1,0.5089849441476445,0.4910150558523555
RF,rf_shap,2,0.6844660194174758,0.31553398058252424
RF,rf_shap,2,0.6762135922330097,0.3237864077669903
RF,rf_shap,2,0.6713592233009709,0.32864077669902914
RF,rf_shap,2,0.6699029126213593,0.33009708737864074
RF,rf_shap,2,0.6551724137931034,0.3448275862068966
RF,rf_shap,3,0.7669902912621359,0.23300970873786409
RF,rf_shap,3,0.7679611650485437,0.23203883495145627
RF,rf_shap,3,0.762621359223301,0.237378640776699
RF,rf_shap,3,0.7475728155339806,0.2524271844660194
RF,rf_shap,3,0.7445361826129189,0.2554638173870811
RF,rf_shap,4,0.7932038834951456,0.2067961165048544
RF,rf_shap,4,0.7898058252427185,0.21019417475728153
RF,rf_shap,4,0.7742718446601942,0.22572815533980584
RF,rf_shap,4,0.7631067961165049,0.2368932038834951
