model,method,k,MAE,MSE
SVM,rf_shap,4,1.5272352691369435,4.651705033512831
SVM,rf_shap,5,1.5069136663266878,4.350022031830238
SVM,rf_shap,5,1.5759603766458297,4.978751595409255
SVM,rf_shap,5,1.5071345943372954,4.401171096860309
SVM,rf_shap,5,1.5670588611832175,5.025275335679704
SVM,rf_shap,5,1.5229885460367398,4.647678385709772
SVM,rf_shap,6,1.502827673770097,4.328275597633864
SVM,rf_shap,6,1.5747520034703624,5.018219716311035
SVM,rf_shap,6,1.4985222739600832,4.350798502445839
SVM,rf_shap,6,1.5583789859840433,5.030901322224657
SVM,rf_shap,6,1.5143705129996279,4.532904652746046
SVM,rf_shap,7,1.4819573847045164,4.261378636932564
SVM,rf_shap,7,1.5534131703739964,4.942587315149529
SVM,rf_shap,7,1.4666020802606685,4.240590294317592
SVM,rf_shap,7,1.5371666607281318,4.957268489527498
SVM,rf_shap,7,1.5017683775492743,4.559299465879564
SVM,rf_shap,8,1.4814004155710918,4.207397833262342
SVM,rf_shap,8,1.5419648470199079,4.921228002913931
SVM,rf_shap,8,1.4658103373342397,4.240711449464358
SVM,rf_shap,8,1.534922887666157,4.901379463422686
SVM,rf_shap,8,1.4952018988025415,4.50995281673225
SVM,rf_shap,9,1.4768826737305714,4.188497697127088
SVM,rf_shap,9,1.545998826903795,4.9261896183865606
SVM,rf_shap,9,1.4647872634877235,4.20897532726506
SVM,rf_shap,9,1.541960454822979,4.942707397998974
SVM,rf_shap,9,1.5018459275940297,4.526078172388743
SVM,rf_shap,10,1.4874927997443679,4.238754388799986
SVM,rf_shap,10,1.550099558966698,4.956179787337863
SVM,rf_shap,10,1.4755774867289715,4.253909149735604
SVM,rf_shap,10,1.5413604157772685,4.943557860857946
SVM,rf_shap,10,1.5071658302096365,4.5550833113806055
SVM,rf,1,1.706355592895494,5.592732034248147
SVM,rf,1,1.8007012192347407,6.254146297190874
SVM,rf,1,1.8197787069449785,5.933369201834721
SVM,rf,1,1.7254742279192323,6.053149499958424
SVM,rf,1,1.7603063611321448,5.729489797908482
SVM,rf,2,1.7447889783174608,5.740893947353379
SVM,rf,2,1.8065901787782181,6.412758483206255
SVM,rf,2,1.8319564011318439,6.062373270748741
SVM,rf,2,1.813987383661395,6.518296747875187
SVM,rf,2,1.8094027207534282,6.323814681183592
SVM,rf,3,1.6149518990859533,4.9686988276952855
SVM,rf,3,1.7148717826648907,5.82865571656248
SVM,rf,3,1.6414026404975128,5.191561037324665
SVM,rf,3,1.6979750973895278,5.9255177585524255
SVM,rf,3,1.6624430261900724,5.498202053185296
SVM,rf,4,1.5333996106310006,4.472078880546019
SVM,rf,4,1.5790104615533045,5.039458827426831
SVM,rf,4,1.5057760754272445,4.355373878666475
SVM,rf,4,1.576868601014085,5.11647818278356
SVM,rf,4,1.530999812116346,4.678394347314961
SVM,rf,5,1.5153371219444238,4.4022235689939215
SVM,rf,5,1.5866433747355382,5.086577845044706
SVM,rf,5,1.4972513881591312,4.308861899221526
SVM,rf,5,1.5624299526956145,5.116223741897351
SVM,rf,5,1.5170704374700885,4.569582175886112
SVM,rf,6,1.5068400185240987,4.322840975635289
SVM,rf,6,1.581715608159231,5.0327817189527
SVM,rf,6,1.4984878465228395,4.337584767117195
SVM,rf,6,1.5580830216167931,5.034693992933444
SVM,rf,6,1.5176742244121826,4.58095356954615
SVM,rf,7,1.498985948868347,4.287315716362348
SVM,rf,7,1.5762264234027437,5.052350235544779
SVM,rf,7,1.5040087617331077,4.353084606788466
SVM,rf,7,1.5575635921455357,5.022672883520932
SVM,rf,7,1.5177689759720978,4.577300670798075
SVM,rf,8,1.4806584038707173,4.216077377350983
SVM,rf,8,1.5519814182366243,4.959464355115701
SVM,rf,8,1.4623342809772406,4.196276107123696
SVM,rf,8,1.5396852280997748,4.930111763332042
SVM,rf,8,1.5023262006376719,4.555158732048417
SVM,rf,9,1.4836861974861586,4.239602515376117
SVM,rf,9,1.5500417463703329,4.957999034286466
SVM,rf,9,1.4674155171472734,4.232519538403672
SVM,rf,9,1.532696201656667,4.907895387261272
SVM,rf,9,1.5026665503810335,4.526418148302815
SVM,rf,10,1.4837812383740168,4.215668535223517
SVM,rf,10,1.5502265791601617,4.963853475270023
SVM,rf,10,1.471955815862242,4.25773290061676
SVM,rf,10,1.5429195666708957,4.954095996159738
SVM,rf,10,1.512855491361594,4.580157804621639
SVM,wv_rf,1,1.7070785325803628,5.602757348761906
SVM,wv_rf,1,1.8043662644599363,6.26249689532944
SVM,wv_rf,1,1.8222410440657297,5.954601306616727
SVM,wv_rf,1,1.7229703488059973,6.067091699565643
SVM,wv_rf,1,1.7579489869240401,5.721662435112434
SVM,wv_rf,2,1.5551834901939352,4.588383029604269
SVM,wv_rf,2,1.6199018581724056,5.1852352409422755
SVM,wv_rf,2,1.5558840704497459,4.613511517425424
SVM,wv_rf,2,1.5708297449143716,5.259488040273785
SVM,wv_rf,2,1.552506145379476,4.814231128709405
SVM,wv_rf,3,1.5472435913673255,4.608700657975969
SVM,wv_rf,3,1.610810816341736,5.267211942952653
SVM,wv_rf,3,1.5441854098724233,4.604430879348526
SVM,wv_rf,3,1.5736350035444868,5.265077566394505
SVM,wv_rf,3,1.5504659852743552,4.75424702683717
SVM,wv_rf,4,1.537478232183907,4.474155415294137
SVM,wv_rf,4,1.577704361405056,5.024435654923441
SVM,wv_rf,4,1.514940003751562,4.395889047309294
SVM,wv_rf,4,1.5547270420746429,5.025563547363067
SVM,wv_rf,4,1.515459205238136,4.531940633596319
SVM,wv_rf,5,1.5179428891267566,4.439098273645187
SVM,wv_rf,5,1.585977281821105,5.084178566501728
SVM,wv_rf,5,1.4998776590327194,4.30667972847689
SVM,wv_rf,5,1.5616900913462881,5.076892046961284
SVM,wv_rf,5,1.51814426672037,4.557479731038245
SVM,wv_rf,6,1.510572256841695,4.341500314180002
SVM,wv_rf,6,1.5737348297164455,5.0419714262298045
SVM,wv_rf,6,1.4813609376369903,4.243866131007038
SVM,wv_rf,6,1.562635218569483,5.066115256061485
SVM,wv_rf,6,1.5169152821709846,4.547568929133695
SVM,wv_rf,7,1.4995909415251252,4.278896012193052
SVM,wv_rf,7,1.5753491592978788,5.025030852341843
SVM,wv_rf,7,1.4991891357455438,4.331707904704082
SVM,wv_rf,7,1.5546223817204445,5.012636523776637
SVM,wv_rf,7,1.5239750673589623,4.575638699203545
SVM,wv_rf,8,1.4822203205948632,4.199410813808961
SVM,wv_rf,8,1.5478964064664964,4.946488246448246
SVM,wv_rf,8,1.469757054109352,4.23819058337745
SVM,wv_rf,8,1.5403432347446218,4.935731881432732
SVM,wv_rf,8,1.4934648882575345,4.4828970908300105
SVM,wv_rf,9,1.4881588504734735,4.240493857120041
SVM,wv_rf,9,1.5441579523100022,4.913598081377605
SVM,wv_rf,9,1.4635500720776817,4.238858281247352
SVM,wv_rf,9,1.5399381206022114,4.959885019009809
SVM,wv_rf,9,1.5056894183681395,4.558270379580864
SVM,wv_rf,10,1.48433203513631,4.229417512470756
SVM,wv_rf,10,1.5534035530332488,4.996056986848549
SVM,wv_rf,10,1.470951229074706,4.247623018351663
SVM,wv_rf,10,1.5412675495531891,4.965652561649699
SVM,wv_rf,10,1.5104903646230285,4.575415170330197
SVM,xgb_shap,1,2.083128058652605,7.705870933831181
SVM,xgb_shap,1,2.16900797800089,8.975325440796315
SVM,xgb_shap,1,2.1664537580420413,8.746721980912287
SVM,xgb_shap,1,2.07668923521997,8.786077290810876
SVM,xgb_shap,1,2.2045248922413765,8.780453709489224
SVM,xgb_shap,2,1.5589851068373906,4.578183874959418
SVM,xgb_shap,2,1.615591953492163,5.170402155856673
SVM,xgb_shap,2,1.5562488170300253,4.61613246060828
SVM,xgb_shap,2,1.577081555275949,5.279262372186517
SVM,xgb_shap,2,1.5584659793284368,4.830958860779685
SVM,xgb_shap,3,1.5317474363800765,4.4115978922031065
SVM,xgb_shap,3,1.5663374721305663,4.896586372747523
SVM,xgb_shap,3,1.5101605992982976,4.358207426299428
SVM,xgb_shap,3,1.550075481893213,4.956343477313586
SVM,xgb_shap,3,1.5303087000413558,4.640186160615376
SVM,xgb_shap,4,1.530552942283024,4.492820648751503
SVM,xgb_shap,4,1.578425523390055,5.006169306130831
SVM,xgb_shap,4,1.5020116311796055,4.326603297381268
SVM,xgb_shap,4,1.5709414250705072,5.080290745793992
SVM,xgb_shap,4,1.5323774242090573,4.6831054290957175
SVM,xgb_shap,5,1.4907352142940202,4.2873771213871334
SVM,xgb_shap,5,1.5523168248536057,4.961950931427256
SVM,xgb_shap,5,1.4620496694439173,4.241851419363952
SVM,xgb_shap,5,1.5526186923670606,5.010178044821004
SVM,xgb_shap,5,1.5039709180789225,4.58762988644828
SVM,xgb_shap,6,1.4856115243920973,4.280894818106352
SVM,xgb_shap,6,1.546510901440142,4.954035917694638
SVM,xgb_shap,6,1.455719946073531,4.215099457518641
SVM,xgb_shap,6,1.5471537691865624,5.023934811903654
SVM,xgb_shap,6,1.4883234942999446,4.460083350245181
SVM,xgb_shap,7,1.477165788262017,4.206741971346037
SVM,xgb_shap,7,1.5513541736816323,4.955301959144002
SVM,xgb_shap,7,1.4697764191562723,4.2711452508945875
SVM,xgb_shap,7,1.5389118873857703,4.940585800011511
SVM,xgb_shap,7,1.5071376254282245,4.600190159532187
SVM,xgb_shap,8,1.4806965237900436,4.205110680118577
SVM,xgb_shap,8,1.551466137367811,4.912784624826019
SVM,xgb_shap,8,1.4693632373024126,4.238125916639521
SVM,xgb_shap,8,1.5317925449089311,4.897172802938856
SVM,xgb_shap,8,1.4955723908415093,4.513154750772553
SVM,xgb_shap,9,1.4878329719995587,4.240220094405826
SVM,xgb_shap,9,1.5513602522807117,4.945966467810897
SVM,xgb_shap,9,1.4656388545566696,4.229227545910552
SVM,xgb_shap,9,1.5444500795789522,4.990503997879054
SVM,xgb_shap,9,1.4992814933872607,4.507954830185312
SVM,xgb_shap,10,1.487039304476778,4.250147916820459
SVM,xgb_shap,10,1.557337516538899,4.997090705681339
SVM,xgb_shap,10,1.47163669680187,4.256801906261248
SVM,xgb_shap,10,1.5430640467046153,4.975300639532533
SVM,xgb_shap,10,1.5083383886528192,4.5695986546700675
RF,xgb,1,2.0121499307089543,8.365697465524274
RF,xgb,1,2.1665971606458014,9.968297831773018
RF,xgb,1,2.1601533652448195,9.575121275114252
RF,xgb,1,2.2605279583759272,10.303643286605809
RF,xgb,1,2.2123401283043234,9.872627376250872
RF,xgb,2,1.9269051321099107,7.800635646107111
RF,xgb,2,2.082699914089204,9.3689307618318
RF,xgb,2,2.0646147909964863,8.873415230696263
RF,xgb,2,2.16022184654873,9.624971784145131
RF,xgb,2,2.117888464138247,9.187558575492915
RF,xgb,3,1.7946070512170398,7.120428823364999
RF,xgb,3,1.942976212503554,8.583134850325859
RF,xgb,3,1.909311436833962,7.888150719353074
RF,xgb,3,1.9560338639660901,8.545127408842967
RF,xgb,3,1.94193918382136,8.187877729063525
RF,xgb,4,1.7926675983268634,7.109522504616888
RF,xgb,4,1.941287457574304,8.571834569634365
RF,xgb,4,1.9073844458607807,7.872825441196043
RF,xgb,4,1.9537434012706765,8.532628877324395
RF,xgb,4,1.939901476319086,8.176041985149748
RF,xgb,5,1.7500949955048875,6.784142605161111
RF,xgb,5,1.8872021725158303,8.160161962257819
RF,xgb,5,1.8588162255485576,7.522565704546511
RF,xgb,5,1.8921010067572208,8.111572022906193
RF,xgb,5,1.8969505502626327,7.862386485202512
RF,xgb,6,1.7496109019879045,6.785145861525745
RF,xgb,6,1.8871055184131602,8.164369582598049
RF,xgb,6,1.858439936540368,7.525563355043999
RF,xgb,6,1.891527216208872,8.11285396989245
RF,xgb,6,1.896040866945108,7.861021770173503
RF,xgb,7,1.7416681264147198,6.745748540909098
RF,xgb,7,1.8811164671506995,8.136418219733574
RF,xgb,7,1.8526039619157866,7.508935554880616
RF,xgb,7,1.882011800615955,8.072755643062823
RF,xgb,7,1.8880237651355858,7.827129693117544
RF,xgb,8,1.7344275719270201,6.711328119516073
RF,xgb,8,1.8747075737568148,8.097475525994243
RF,xgb,8,1.8464851155083326,7.488852726483355
RF,xgb,8,1.8719357329553412,8.04192426714228
RF,xgb,8,1.8793368131535706,7.797481853905733
RF,xgb,9,1.7306744327925578,6.66231413972718
RF,xgb,9,1.871464256655511,8.058136946186877
RF,xgb,9,1.8496111063382463,7.483119291779866
RF,xgb,9,1.8654982753006903,7.991959309495808
RF,xgb,9,1.883055248644515,7.793762299778063
RF,xgb,10,1.7318749350339702,6.671654792514302
RF,xgb,10,1.8719747336185866,8.051693059171527
RF,xgb,10,1.8479192079041338,7.481180287342579
RF,xgb,10,1.867822207570395,8.00482733532072
RF,xgb,10,1.8823585588469058,7.775969709061134
RF,perm,1,2.015700465274856,8.173292393185557
