perm,rf,rf_shap,variable,wv_rf,xgb,xgb_shap,task
0.011096233039906691,0.006309399556968376,207.14925298236736,F,11.298687728365342,0.01666036807000637,118.74104309082031,reg
0.04512600596686804,0.020633803706102745,687.2155227948905,I,31.107179229483187,0.0206788070499897,802.5457763671875,reg
0.010073357665992601,0.005310669209145925,130.64015050331182,M,9.880574791190726,0.004356015007942915,39.943931579589844,reg
0.0678426761972033,0.07058744078141528,476.4406102455708,length,170.403071836425,0.0908220112323761,634.8103637695312,reg
0.08538212656348608,0.09470798593865618,906.4875835778275,diameter,166.9321894310598,0.07976086437702179,760.4136352539062,reg
0.11106295668997007,0.14199553731854672,1753.7617618635118,height,256.6448695835994,0.08916228264570236,1148.7464599609375,reg
0.1226181786541953,0.14083271760437027,1562.7633531792974,whole weight,259.9017842804818,0.16023759543895721,5525.0185546875,reg
0.20789378202866354,0.1286916079264837,2461.420740823193,shucked weight,334.6573808801128,0.21202805638313293,6563.279296875,reg
0.08132904183707546,0.10902534204236562,794.0155723676469,viscera weight,304.7595798720488,0.10805097967386246,764.2850341796875,reg
0.257575641356639,0.281905495915945,3839.586734673968,shell weight,725.5395171771739,0.21824303269386292,5586.27392578125,reg
0.0009694883028244738,0.0004747818204589195,0.0013427694462024233,tBodyAcc-mean()-X,0.09411710985267199,0.0037227924913167953,0.0010687739122658966,clf
0.00029761537041386233,0.0004170554273757882,0.0008775259145401299,tBodyAcc-mean()-Y,0.4819312155088509,0.0038916929624974728,0.0012701090890914206,clf
0.00044200853326245115,0.00025974924163668704,0.0005120491908693275,tBodyAcc-mean()-Z,0.11480563393227627,0.0030488017946481705,0.0011193989776074886,clf
0.0043773464270185965,0.006553396962391503,0.010761882285127741,tBodyAcc-std()-X,1.821142036696888,0.009192065335810184,0.0198914147913456,clf
0.001155855920769415,0.0012673509655075734,0.002499827701295838,tBodyAcc-std()-Y,0.256990258831577,0.004512539133429527,0.009021002799272535,clf
0.0012380128442018301,0.0007317071100770406,0.0026508797056791983,tBodyAcc-std()-Z,0.15083995782440934,0.0034164765384048232,0.0020689405500888824,clf
0.002652687780922792,0.003610058149238866,0.010977851673660038,tBodyAcc-mad()-X,1.9241068178834264,0.0017396160401403904,0.003238600678741932,clf
0.0012758534318239698,0.0009958071344838956,0.0022812671934995627,tBodyAcc-mad()-Y,0.3537954499524248,0.0022008249070495367,0.010746867395937445,clf
0.0013603511908676295,0.0006739383776893448,0.0020794076568992547,tBodyAcc-mad()-Z,0.12985949247664452,0.0010009647812694313,0.0008285606745630503,clf
0.006182241487432705,0.008622933155116428,0.023412868495880947,tBodyAcc-max()-X,6.275628069515925,0.010997317731380464,0.14356829226016998,clf
0.0013575487403325224,0.0004121800090747954,0.0016811720448651698,tBodyAcc-max()-Y,0.10442274779963986,0.002472700551152229,0.0047125061973929405,clf
0.0007263947562836223,0.0004506626360050767,0.0017465934179597671,tBodyAcc-max()-Z,0.06597355373733885,0.002775400411337614,0.0033879349939525127,clf
0.0013583380410368696,0.0007880000933264634,0.002851368185336327,tBodyAcc-min()-X,0.1819021651925533,0.002715891692787409,0.004702100995928049,clf
0.0044950434354619475,0.0012298076048040606,0.006144719830613954,tBodyAcc-min()-Y,0.12509857776862662,0.0026915296912193303,0.006567775271832943,clf
0.0009658731177387636,0.0003495052909659012,0.0015447570068532052,tBodyAcc-min()-Z,0.20159936848436905,0.002110438421368599,0.0017142342403531075,clf
0.0012505797880176725,0.0013375499447524002,0.007423543107542433,tBodyAcc-sma(),0.3548886215426229,0.0018933176761493087,0.004127270542085171,clf
0.0059996490317109005,0.004643792610429911,0.011688417754949184,tBodyAcc-energy()-X,9.002954576612279,0.002885150955989957,0.07467284798622131,clf
0.0015186757520736938,0.0008446588340422942,0.0027547438298514645,tBodyAcc-energy()-Y,0.2735931310612684,0.0010341866873204708,0.0053049218840897075,clf
0.0011633576043792752,0.0009593943482828721,0.002071847183503311,tBodyAcc-energy()-Z,0.1450169620963584,0.0007608865853399037,0.0016002673655748367,clf
0.0024282391178649435,0.0020805179608827237,0.008608938688631714,tBodyAcc-iqr()-X,0.4368562910803465,0.001646619290113449,0.005672986153513193,clf
0.0008957535713790312,0.0008540978100545219,0.0022572162582624703,tBodyAcc-iqr()-Y,0.26420494079962875,0.001471497816964984,0.0019127788254991167,clf
0.0005849578363064338,0.0005206683634607028,0.001126668006379768,tBodyAcc-iqr()-Z,0.05563797854650192,0.0012740865349769592,0.0011590732028707866,clf
0.002695008898510157,0.0012685907607899436,0.004766145669608716,tBodyAcc-entropy()-X,1.6647301124002918,0.009690265171229841,0.02369367890059948,clf
0.000508383552245867,0.00043998491533693584,0.0011623024201222615,tBodyAcc-entropy()-Y,0.1643392281227488,0.0030372964683920145,0.0025987739209085703,clf
0.0004248862645613336,0.0003993163237342256,0.0011135365947177117,tBodyAcc-entropy()-Z,0.20393112218559933,0.003599283052608371,0.003596942173317075,clf
0.001316676622723997,0.0005774459838237927,0.0024588518997895764,"tBodyAcc-arCoeff()-X,1",0.08177192442731174,0.002333918353542685,0.0036919894628226757,clf
0.00010476704888568597,0.00018427295492548092,0.0004422548436798282,"tBodyAcc-arCoeff()-X,2",0.027907237041201544,0.0020508395973593,0.0011528732720762491,clf
0.00024495002474295445,0.00020115898107192924,0.0003919074506539848,"tBodyAcc-arCoeff()-X,3",0.1299057463756534,0.0014378527412191033,0.0005098649417050184,clf
0.00044251395216718967,0.00033877395365523627,0.0007408784192268862,"tBodyAcc-arCoeff()-X,4",0.2816696238852658,0.0031020878814160824,0.0017404755344614387,clf
