model,method,k,metric,value,task
SVM,rf_shap,5,MAE,1.5670588611832175,reg
SVM,rf_shap,5,MAE,1.5229885460367398,reg
SVM,rf_shap,6,MAE,1.502827673770097,reg
SVM,rf_shap,6,MAE,1.5747520034703624,reg
SVM,rf_shap,6,MAE,1.4985222739600832,reg
SVM,rf_shap,6,MAE,1.5583789859840433,reg
SVM,rf_shap,6,MAE,1.5143705129996279,reg
SVM,rf_shap,7,MAE,1.4819573847045164,reg
SVM,rf_shap,7,MAE,1.5534131703739964,reg
SVM,rf_shap,7,MAE,1.4666020802606685,reg
SVM,rf_shap,7,MAE,1.5371666607281318,reg
SVM,rf_shap,7,MAE,1.5017683775492743,reg
SVM,rf_shap,8,MAE,1.4814004155710918,reg
SVM,rf_shap,8,MAE,1.5419648470199079,reg
SVM,rf_shap,8,MAE,1.4658103373342397,reg
SVM,rf_shap,8,MAE,1.534922887666157,reg
SVM,rf_shap,8,MAE,1.4952018988025415,reg
SVM,rf_shap,9,MAE,1.4768826737305714,reg
SVM,rf_shap,9,MAE,1.545998826903795,reg
SVM,rf_shap,9,MAE,1.4647872634877235,reg
SVM,rf_shap,9,MAE,1.541960454822979,reg
SVM,rf_shap,9,MAE,1.5018459275940297,reg
SVM,rf_shap,10,MAE,1.4874927997443679,reg
SVM,rf_shap,10,MAE,1.550099558966698,reg
SVM,rf_shap,10,MAE,1.4755774867289715,reg
SVM,rf_shap,10,MAE,1.5413604157772685,reg
SVM,rf_shap,10,MAE,1.5071658302096365,reg
SVM,rf,1,MAE,1.706355592895494,reg
SVM,rf,1,MAE,1.8007012192347407,reg
SVM,rf,1,MAE,1.8197787069449785,reg
SVM,rf,1,MAE,1.7254742279192323,reg
SVM,rf,1,MAE,1.7603063611321448,reg
SVM,rf,2,MAE,1.7447889783174608,reg
SVM,rf,2,MAE,1.8065901787782181,reg
SVM,rf,2,MAE,1.8319564011318439,reg
SVM,rf,2,MAE,1.813987383661395,reg
SVM,rf,2,MAE,1.8094027207534282,reg
SVM,rf,3,MAE,1.6149518990859533,reg
SVM,rf,3,MAE,1.7148717826648907,reg
SVM,rf,3,MAE,1.6414026404975128,reg
SVM,rf,3,MAE,1.6979750973895278,reg
SVM,rf,3,MAE,1.6624430261900724,reg
SVM,rf,4,MAE,1.5333996106310006,reg
SVM,rf,4,MAE,1.5790104615533045,reg
SVM,rf,4,MAE,1.5057760754272445,reg
SVM,rf,4,MAE,1.576868601014085,reg
SVM,rf,4,MAE,1.530999812116346,reg
SVM,rf,5,MAE,1.5153371219444238,reg
SVM,rf,5,MAE,1.5866433747355382,reg
SVM,rf,5,MAE,1.4972513881591312,reg
SVM,rf,5,MAE,1.5624299526956145,reg
SVM,rf,5,MAE,1.5170704374700885,reg
SVM,rf,6,MAE,1.5068400185240987,reg
SVM,rf,6,MAE,1.581715608159231,reg
SVM,rf,6,MAE,1.4984878465228395,reg
SVM,rf,6,MAE,1.5580830216167931,reg
SVM,rf,6,MAE,1.5176742244121826,reg
SVM,rf,7,MAE,1.498985948868347,reg
SVM,rf,7,MAE,1.5762264234027437,reg
SVM,rf,7,MAE,1.5040087617331077,reg
SVM,rf,7,MAE,1.5575635921455357,reg
SVM,rf,7,MAE,1.5177689759720978,reg
SVM,rf,8,MAE,1.4806584038707173,reg
SVM,rf,8,MAE,1.5519814182366243,reg
SVM,rf,8,MAE,1.4623342809772406,reg
SVM,rf,8,MAE,1.5396852280997748,reg
SVM,rf,8,MAE,1.5023262006376719,reg
SVM,rf,9,MAE,1.4836861974861586,reg
SVM,rf,9,MAE,1.5500417463703329,reg
SVM,rf,9,MAE,1.4674155171472734,reg
SVM,rf,9,MAE,1.532696201656667,reg
SVM,rf,9,MAE,1.5026665503810335,reg
SVM,rf,10,MAE,1.4837812383740168,reg
SVM,rf,10,MAE,1.5502265791601617,reg
SVM,rf,10,MAE,1.471955815862242,reg
SVM,rf,10,MAE,1.5429195666708957,reg
SVM,rf,10,MAE,1.512855491361594,reg
SVM,wv_rf,1,MAE,1.7070785325803628,reg
SVM,wv_rf,1,MAE,1.8043662644599363,reg
SVM,wv_rf,1,MAE,1.8222410440657297,reg
SVM,wv_rf,1,MAE,1.7229703488059973,reg
